_time,job_name,target,status,files_count,size_gb,actor
2026-05-23 01:36:00,nightly-file-hq,SRV-FILE-HQ,SUCCESS,41489,729.2,svc_posmon
2026-05-23 03:12:00,weekly-cardproc-archive,SRV-FILE-HQ,SUCCESS,130149,2167.0,svc_posmon
2026-05-24 01:32:00,nightly-file-hq,SRV-FILE-HQ,SUCCESS,45402,689.3,svc_posmon
2026-05-25 01:38:00,nightly-file-hq,SRV-FILE-HQ,SUCCESS,41627,678.7,svc_posmon
2026-05-26 01:37:00,nightly-file-hq,SRV-FILE-HQ,SUCCESS,48386,736.1,svc_posmon
2026-05-27 01:31:00,nightly-file-hq,SRV-FILE-HQ,SUCCESS,41277,754.8,svc_posmon
2026-05-28 01:31:00,nightly-file-hq,SRV-FILE-HQ,SUCCESS,45001,779.2,svc_posmon
2026-05-29 01:39:00,nightly-file-hq,SRV-FILE-HQ,SUCCESS,48036,725.6,svc_posmon
2026-05-30 01:30:00,nightly-file-hq,SRV-FILE-HQ,SUCCESS,45420,680.2,svc_posmon
2026-05-30 03:12:00,weekly-cardproc-archive,SRV-FILE-HQ,SUCCESS,122626,2200.1,svc_posmon
2026-05-31 01:37:00,nightly-file-hq,SRV-FILE-HQ,SUCCESS,51728,654.2,svc_posmon
2026-06-01 01:36:00,nightly-file-hq,SRV-FILE-HQ,SUCCESS,45247,695.1,svc_posmon
2026-06-02 01:39:00,nightly-file-hq,SRV-FILE-HQ,SUCCESS,42573,648.2,svc_posmon
2026-06-03 01:39:00,nightly-file-hq,SRV-FILE-HQ,SUCCESS,46915,663.7,svc_posmon
2026-06-04 01:33:00,nightly-file-hq,SRV-FILE-HQ,SUCCESS,48500,736.1,svc_posmon
2026-06-05 01:38:00,nightly-file-hq,SRV-FILE-HQ,SUCCESS,48031,740.2,svc_posmon
2026-06-06 01:30:00,nightly-file-hq,SRV-FILE-HQ,SUCCESS,50235,614.7,svc_posmon
2026-06-06 03:12:00,weekly-cardproc-archive,SRV-FILE-HQ,SUCCESS,128903,2158.6,svc_posmon
2026-06-07 01:35:00,nightly-file-hq,SRV-FILE-HQ,SUCCESS,50574,636.4,svc_posmon
2026-06-08 01:38:00,nightly-file-hq,SRV-FILE-HQ,SUCCESS,51561,731.1,svc_posmon
2026-06-09 01:31:00,nightly-file-hq,SRV-FILE-HQ,SUCCESS,45263,619.5,svc_posmon
2026-06-10 01:39:00,nightly-file-hq,SRV-FILE-HQ,SUCCESS,47274,685.6,svc_posmon
2026-06-11 01:37:00,nightly-file-hq,SRV-FILE-HQ,SUCCESS,49287,685.5,svc_posmon
2026-06-12 01:34:00,nightly-file-hq,SRV-FILE-HQ,SUCCESS,45803,653.1,svc_posmon
2026-06-13 01:30:00,nightly-file-hq,SRV-FILE-HQ,SUCCESS,48640,612.8,svc_posmon
